edad,genero,zona,tipo_empleo,antiguedad,ingresos,score_crediticio,pagos_previos,creditos_previos,monto_credito,plazo_meses,destino_credito,tipo_garantia,valor_garantia,precio_soya,precio_vino,uso_productos,default_12m
38,F,Rural,Agricola,21,4623.09,528.0,4,7,55351,12,Agricola,Inmueble,46433.69,413.84,44.79,0,0
53,F,Rural,Dependiente,17,3508.4,496.0,2,5,27654,60,Consumo,Vehiculo,15022.63,426.12,43.99,3,1
40,F,Urbana,Independiente,19,3906.75,706.0,4,1,52529,60,Agricola,Vehiculo,52899.04,443.05,34.61,4,0
33,M,Rural,Agricola,5,4301.89,817.0,3,3,105349,24,Comercial,Ninguna,103246.12,377.01,49.47,1,0
56,F,Urbana,Independiente,3,2903.16,842.0,0,5,17665,36,Consumo,Ninguna,16416.74,397.59,40.88,1,0
62,M,Urbana,Agricola,25,4069.92,575.0,0,8,63475,48,Comercial,Vehiculo,25940.16,442.7,47.5,0,0
59,F,Urbana,Dependiente,22,6349.5,670.0,5,1,48802,60,Consumo,Inmueble,68929.44,422.44,45.82,4,0
56,F,Rural,Comerciante,11,3546.36,785.0,0,5,78892,60,Consumo,Inmueble,79736.65,425.3,41.56,3,0
31,F,Urbana,Independiente,12,3058.51,562.0,3,9,37362,48,Consumo,Inmueble,23044.51,437.78,53.34,2,1
48,F,Urbana,Independiente,18,7836.2,788.0,1,9,40338,12,Comercial,Inmueble,45376.29,397.76,46.31,2,0
22,F,Rural,Dependiente,21,4860.96,790.0,3,9,94004,36,Comercial,Inmueble,64062.75,446.38,48.33,2,0
52,M,Rural,Dependiente,12,3263.46,505.0,3,6,97464,36,Comercial,Inmueble,88402.5,440.49,51.52,3,0
40,F,Urbana,Independiente,11,5529.6,468.0,2,7,3120,24,Consumo,Ninguna,2213.2,425.96,49.73,2,0
46,M,Urbana,Independiente,19,4909.77,644.0,0,8,111289,12,Consumo,Inmueble,150960.5,431.7,48.87,0,0
60,M,Urbana,Independiente,2,3587.7,764.0,4,4,1785,36,Consumo,Vehiculo,2664.61,449.12,43.05,1,0
28,M,Rural,Dependiente,27,4421.68,543.0,5,8,57925,24,Comercial,Inmueble,28581.27,405.15,41.33,2,0
35,M,Urbana,Agricola,2,4033.7,497.0,1,8,67473,36,Comercial,Vehiculo,22151.03,436.53,48.95,1,0
64,M,Urbana,Agricola,13,6084.13,686.0,4,6,109185,12,Comercial,Ninguna,61491.57,463.61,42.23,0,0
29,F,Rural,Dependiente,17,5590.15,737.0,2,1,30969,36,Agricola,Ninguna,31214.97,436.02,52.77,4,0
26,F,Urbana,Independiente,26,1071.29,619.0,2,7,66236,36,Consumo,Vehiculo,33696.99,414.44,47.22,4,0
27,F,Urbana,Agricola,18,7544.65,626.0,1,4,102416,36,Comercial,Ninguna,130455.59,477.96,51.89,3,0
61,F,Urbana,Independiente,28,4038.69,736.0,4,7,17297,48,Comercial,Inmueble,13671.63,425.77,42.09,1,0
34,M,Urbana,Dependiente,27,7255.78,602.0,1,1,106741,6,Consumo,Ninguna,110224.95,454.96,41.15,3,0
55,F,Urbana,Agricola,29,5645.68,608.0,1,6,141601,12,Agricola,Ninguna,119899.43,409.46,58.07,2,0
24,F,Urbana,Dependiente,9,4897.17,705.0,0,4,31089,48,Consumo,Ninguna,43026.97,446.7,47.1,3,0
63,M,Urbana,Dependiente,16,4349.34,715.0,4,3,7171,6,Agricola,Ninguna,2453.65,406.34,53.48,0,0
30,M,Urbana,Dependiente,14,8914.04,660.0,0,9,18874,60,Consumo,Vehiculo,22180.01,428.08,39.53,3,0
57,F,Urbana,Independiente,18,4065.36,814.0,0,5,60024,36,Comercial,Vehiculo,64982.38,404.83,46.3,2,0
59,F,Rural,Dependiente,8,3425.87,747.0,5,4,22153,36,Agricola,Ninguna,23912.35,467.53,55.81,2,0
26,M,Rural,Comerciante,3,3569.91,648.0,0,5,105693,48,Comercial,Ninguna,84214.84,414.47,38.61,0,0
67,F,Urbana,Dependiente,14,4501.69,564.0,3,8,58753,24,Consumo,Vehiculo,18731.06,392.3,61.65,1,0
44,F,Urbana,Dependiente,18,4498.9,769.0,2,0,138713,12,Comercial,Inmueble,156341.88,422.38,49.22,4,1
19,F,Urbana,Independiente,15,6106.44,772.0,2,0,90075,6,Comercial,Vehiculo,116680.04,433.43,43.09,0,0
22,F,Rural,Dependiente,7,5713.2,671.0,3,5,5677,36,Consumo,Ninguna,2283.72,419.33,50.11,4,0
46,M,Urbana,Independiente,16,5715.19,705.0,1,1,6139,12,Agricola,Vehiculo,5095.01,399.67,54.65,0,0
54,M,Rural,Dependiente,20,4134.82,743.0,4,7,58766,36,Consumo,Vehiculo,29095.86,445.93,43.05,0,0
55,M,Urbana,Dependiente,0,5582.44,824.0,4,6,87049,36,Comercial,Vehiculo,89932.53,451.48,43.91,3,0
36,F,Rural,Dependiente,6,5750.07,760.0,4,5,77693,36,Comercial,Vehiculo,96551.1,378.8,49.49,3,0
25,F,Rural,Independiente,20,4373.08,720.0,0,3,58414,12,Comercial,Inmueble,64258.2,398.07,50.78,3,1
65,F,Rural,Dependiente,17,4946.72,764.0,4,8,144904,48,Comercial,Ninguna,98777.01,416.01,46.81,0,0
62,F,Urbana,Agricola,11,5748.05,784.0,4,6,130807,12,Agricola,Ninguna,61175.72,406.73,50.41,3,0
18,F,Urbana,Independiente,15,4837.86,704.0,4,6,74741,12,Comercial,Ninguna,93659.57,433.15,53.12,0,0
39,M,Urbana,Independiente,29,4990.53,763.0,2,4,137497,60,Comercial,Vehiculo,94694.22,465.99,49.04,3,0
69,F,Urbana,Independiente,0,6751.35,619.0,3,0,4900,24,Comercial,Ninguna,1600.18,410.48,43.85,4,0
34,F,Urbana,Independiente,26,4850.42,773.0,5,1,78347,24,Comercial,Vehiculo,77227.07,459.42,47.87,1,0
24,M,Urbana,Comerciante,14,3527.63,620.0,1,7,127004,48,Comercial,Inmueble,75696.01,383.29,58.54,3,0
42,F,Urbana,Dependiente,6,2346.91,589.0,3,4,125463,24,Comercial,Ninguna,164287.17,431.4,50.0,2,1
62,M,Urbana,Dependiente,27,4681.04,668.0,4,1,30134,48,Consumo,Vehiculo,14220.42,405.13,55.44,1,0
21,M,Urbana,Dependiente,16,3969.65,559.0,1,4,3817,36,Comercial,Inmueble,3136.66,431.93,44.91,2,0
53,M,Urbana,Dependiente,2,5793.3,626.0,1,7,71486,36,Agricola,Ninguna,43160.12,376.08,49.58,1,0
23,M,Rural,Dependiente,10,7024.32,714.0,3,3,139763,12,Comercial,Ninguna,157585.85,387.87,52.77,3,0
48,M,Urbana,Agricola,5,2852.47,705.0,3,2,66978,36,Consumo,Vehiculo,64180.8,431.88,56.99,4,1
36,F,Urbana,Independiente,5,3082.64,738.0,3,4,58154,24,Agricola,Ninguna,72645.12,404.25,55.37,3,1
61,M,Urbana,Comerciante,14,4461.35,739.0,5,6,93195,6,Comercial,Inmueble,79246.98,411.92,41.28,0,1
56,M,Rural,Dependiente,6,3220.11,714.0,3,1,49788,12,Consumo,Ninguna,15223.68,465.91,54.91,2,0
44,F,Urbana,Dependiente,10,4144.76,603.0,5,0,94039,48,Comercial,Vehiculo,52495.93,423.44,58.12,1,0
27,F,Urbana,Comerciante,29,3642.12,763.0,0,4,10413,36,Comercial,Inmueble,15608.97,442.54,44.55,4,0
43,M,Urbana,Agricola,26,2887.56,670.0,2,6,115113,12,Consumo,Ninguna,90526.47,401.02,42.63,2,0
36,F,Urbana,Independiente,16,5821.42,702.0,5,7,44400,12,Agricola,Ninguna,46366.13,386.47,47.85,4,0
56,F,Urbana,Independiente,22,4620.45,689.0,2,7,30899,12,Comercial,Ninguna,42823.48,417.98,49.08,2,0
20,M,Rural,Agricola,17,7428.59,822.0,4,9,113683,36,Comercial,Inmueble,36904.8,382.74,45.9,3,0
62,M,Rural,Independiente,21,5074.41,572.0,0,8,46463,48,Agricola,Inmueble,50715.71,402.54,40.88,0,0
30,F,Urbana,Dependiente,28,6561.65,649.0,1,0,1894,12,Agricola,Ninguna,1223.62,425.94,56.83,2,0
67,M,Urbana,Agricola,23,3333.93,728.0,3,6,111398,12,Comercial,Inmueble,70748.64,417.22,42.84,4,0
45,M,Urbana,Independiente,28,3314.07,682.0,4,9,130611,12,Agricola,Inmueble,74424.98,428.36,44.96,3,0
37,F,Urbana,Dependiente,20,8053.39,636.0,1,7,89777,60,Comercial,Inmueble,115567.69,435.01,48.65,1,0
45,M,Urbana,Independiente,25,3525.73,507.0,2,5,47442,36,Consumo,Vehiculo,35464.66,390.11,39.17,1,0
25,M,Urbana,Independiente,18,2981.36,654.0,1,9,120681,60,Consumo,Inmueble,45923.93,396.45,38.71,3,0
58,M,Rural,Comerciante,26,2626.01,713.0,3,3,44520,24,Comercial,Vehiculo,18530.18,365.54,45.41,1,1
56,M,Rural,Dependiente,7,7565.2,729.0,3,6,104137,48,Agricola,Inmueble,49812.6,410.74,52.95,4,0
18,M,Urbana,Comerciante,23,4060.48,665.0,5,2,30899,12,Comercial,Ninguna,42600.86,438.42,49.13,0,0
20,F,Urbana,Independiente,19,5145.43,696.0,5,1,79107,60,Comercial,Ninguna,64308.62,457.28,35.64,3,0
30,F,Urbana,Independiente,7,4742.24,577.0,2,5,132443,12,Consumo,Inmueble,185322.09,424.76,56.34,0,0
45,M,Urbana,Dependiente,20,3342.54,715.0,3,1,31193,60,Consumo,Inmueble,39957.46,454.33,52.78,0,0
66,F,Urbana,Agricola,28,4025.92,681.0,0,5,106302,12,Comercial,Vehiculo,138772.92,429.6,49.15,3,0
42,M,Urbana,Comerciante,10,5853.09,695.0,4,9,15464,36,Agricola,Vehiculo,9961.88,422.69,48.99,2,0
50,M,Rural,Dependiente,20,2538.63,660.0,2,2,84323,24,Consumo,Vehiculo,52750.55,404.72,52.04,4,0
55,M,Rural,Dependiente,2,5578.67,699.0,2,1,50025,12,Consumo,Ninguna,48628.4,360.37,61.96,3,0
23,M,Urbana,Independiente,22,6794.46,737.0,1,7,95187,60,Comercial,Ninguna,76293.33,450.58,53.28,4,0
61,M,Urbana,Agricola,26,4967.8,703.0,2,3,112710,12,Comercial,Ninguna,102664.48,418.67,49.78,0,0
62,F,Urbana,Dependiente,13,6633.44,516.0,4,3,77248,36,Comercial,Vehiculo,28106.3,454.71,40.64,0,1
49,F,Urbana,Independiente,26,2305.74,705.0,0,6,83927,48,Consumo,Ninguna,123029.28,396.26,48.99,2,0
62,M,Urbana,Independiente,8,1571.93,645.0,1,7,1667,48,Agricola,Ninguna,616.46,480.72,52.64,0,0
64,F,Urbana,Dependiente,24,4888.23,616.0,4,8,148397,24,Consumo,Inmueble,76364.73,413.78,47.31,3,0
38,M,Urbana,Independiente,0,3561.85,801.0,5,9,16890,48,Agricola,Ninguna,18812.77,402.7,44.86,4,0
33,F,Urbana,Dependiente,0,5906.02,596.0,2,7,102333,12,Consumo,Vehiculo,49795.43,414.64,51.32,2,1
38,M,Rural,Agricola,25,4003.29,606.0,3,3,42000,36,Comercial,Inmueble,17986.24,424.26,42.07,3,0
28,F,Urbana,Independiente,27,4735.51,478.0,5,1,145097,12,Agricola,Ninguna,70276.93,418.25,53.21,4,1
54,M,Urbana,Independiente,11,4629.57,810.0,3,9,121580,12,Agricola,Ninguna,45507.92,407.12,45.39,4,0
53,M,Urbana,Dependiente,10,4680.61,760.0,4,4,30940,24,Comercial,Vehiculo,18612.96,374.91,35.27,1,0
52,F,Urbana,Dependiente,20,3631.77,650.0,0,6,122878,48,Agricola,Vehiculo,76840.91,399.89,45.27,1,0
36,F,Urbana,Agricola,0,2316.56,735.0,3,1,120492,48,Comercial,Vehiculo,108243.57,446.86,47.66,3,0
37,M,Rural,Independiente,19,4149.29,480.0,4,3,25701,48,Comercial,Vehiculo,21241.03,398.01,51.31,2,0
35,F,Rural,Independiente,11,6820.07,723.0,1,5,83697,60,Agricola,Inmueble,72687.17,377.08,50.62,4,1
64,M,Urbana,Independiente,16,3525.87,603.0,2,7,42795,12,Comercial,Ninguna,44474.59,393.61,40.26,4,0
58,F,Urbana,Independiente,14,3517.05,831.0,0,9,91990,36,Comercial,Inmueble,53092.37,417.78,48.73,3,1
66,F,Urbana,Dependiente,1,4752.24,713.0,0,5,14115,36,Comercial,Ninguna,6516.12,401.02,44.8,2,0
31,M,Urbana,Dependiente,17,2616.64,692.0,1,5,131845,12,Comercial,Vehiculo,178604.35,413.0,45.84,0,0
32,F,Rural,Dependiente,15,6105.58,606.0,0,5,57433,6,Comercial,Ninguna,60920.88,400.04,42.01,2,0
48,F,Urbana,Agricola,3,2769.22,607.0,4,3,47999,12,Comercial,Vehiculo,17893.83,445.24,47.69,0,0
18,M,Urbana,Dependiente,7,4037.12,733.0,0,2,75564,60,Agricola,Inmueble,109814.29,432.27,66.79,4,0
20,F,Urbana,Dependiente,1,8562.25,605.0,0,0,108747,48,Agricola,Ninguna,123067.04,475.45,59.14,1,0
33,M,Urbana,Agricola,13,2671.9,602.0,0,1,139760,12,Agricola,Ninguna,67370.69,410.46,42.01,1,0
40,M,Rural,Dependiente,24,6855.79,807.0,4,1,24255,60,Comercial,Vehiculo,35484.13,412.88,48.4,3,0
28,M,Urbana,Independiente,14,4694.0,706.0,5,9,80747,6,Comercial,Ninguna,59630.76,449.59,46.12,2,0
29,M,Rural,Dependiente,27,4919.71,581.0,2,6,78049,12,Comercial,Inmueble,115622.73,429.78,48.85,2,0
27,M,Urbana,Dependiente,8,3205.02,730.0,3,5,67057,48,Consumo,Inmueble,28427.52,396.46,53.5,0,0
49,F,Rural,Independiente,1,5778.0,655.0,5,7,27293,24,Comercial,Inmueble,13427.15,433.91,47.22,3,0
33,M,Urbana,Dependiente,16,3914.52,521.0,0,8,31607,36,Comercial,Vehiculo,34416.97,429.91,43.73,2,0
25,M,Urbana,Agricola,25,2663.54,635.0,1,4,144865,6,Agricola,Vehiculo,47308.88,375.16,54.94,3,0
55,F,Rural,Independiente,9,6829.06,586.0,1,2,91413,24,Consumo,Ninguna,29474.07,403.72,40.6,0,1
29,F,Urbana,Dependiente,8,3882.64,703.0,4,3,108148,36,Comercial,Vehiculo,135226.03,424.76,49.14,4,0
41,F,Urbana,Dependiente,1,1524.99,621.0,2,7,37069,24,Consumo,Vehiculo,18584.04,456.16,39.08,3,1
45,M,Urbana,Independiente,23,4070.07,688.0,0,2,87079,12,Consumo,Inmueble,122132.48,437.45,41.84,1,0
25,M,Rural,Dependiente,29,5792.91,740.0,4,1,43582,12,Consumo,Inmueble,35348.29,405.9,52.47,4,0
45,M,Urbana,Dependiente,18,5537.38,850.0,3,6,95526,36,Consumo,Inmueble,128805.62,402.29,43.92,2,0
53,F,Rural,Independiente,16,3474.59,850.0,2,3,14116,36,Comercial,Vehiculo,11311.38,439.94,36.74,0,0
43,M,Urbana,Agricola,10,2936.03,700.0,2,7,99395,12,Comercial,Vehiculo,93061.15,359.34,43.66,0,1
25,F,Urbana,Independiente,16,2314.12,675.0,4,0,4706,12,Consumo,Inmueble,3199.22,399.81,43.02,1,0
67,M,Rural,Agricola,9,4463.58,626.0,5,7,17147,60,Consumo,Inmueble,18684.94,455.23,40.43,3,0
45,F,Urbana,Comerciante,17,4741.59,532.0,1,4,100147,36,Comercial,Inmueble,68284.37,427.42,51.3,1,1
45,M,Rural,Dependiente,22,5634.34,474.0,5,1,9895,36,Comercial,Ninguna,5618.42,401.03,38.72,3,0
54,M,Rural,Agricola,27,4261.55,604.0,2,0,63058,60,Consumo,Inmueble,25050.22,389.95,44.47,1,0
58,M,Urbana,Agricola,5,4214.13,827.0,1,5,14251,36,Comercial,Vehiculo,5261.52,440.99,48.8,1,0
53,F,Urbana,Dependiente,15,4054.41,824.0,2,8,111533,48,Agricola,Vehiculo,74411.39,421.95,45.94,0,0
44,F,Urbana,Comerciante,27,4744.32,686.0,2,8,6109,60,Comercial,Inmueble,7231.64,414.53,45.57,3,0
34,M,Rural,Dependiente,26,4286.14,722.0,2,8,25632,48,Agricola,Vehiculo,14014.14,429.35,43.66,1,1
26,M,Rural,Dependiente,17,6002.54,626.0,3,3,144223,12,Comercial,Vehiculo,95053.48,424.11,40.69,2,0
50,M,Urbana,Agricola,19,4997.35,677.0,1,5,56276,48,Consumo,Vehiculo,78010.11,422.2,44.18,0,0
37,F,Urbana,Independiente,17,4672.8,610.0,3,9,7325,6,Comercial,Vehiculo,7815.69,386.9,51.95,0,0
30,M,Urbana,Dependiente,0,4433.23,610.0,1,5,95964,12,Consumo,Ninguna,134701.49,394.34,45.4,0,1
45,M,Rural,Dependiente,27,2993.08,735.0,3,4,2912,6,Consumo,Vehiculo,4057.79,438.71,49.0,0,0
65,M,Urbana,Agricola,2,4498.96,626.0,3,1,8374,24,Consumo,Vehiculo,3149.4,433.98,54.7,1,0
46,M,Urbana,Agricola,14,3465.55,724.0,3,6,34034,6,Consumo,Vehiculo,49213.54,429.55,51.6,1,0
30,F,Urbana,Independiente,19,5054.48,667.0,4,0,86402,24,Comercial,Inmueble,31226.85,405.34,40.34,0,0
63,F,Rural,Comerciante,9,4165.83,808.0,3,5,92792,6,Comercial,Vehiculo,130905.64,439.13,50.69,1,0
52,M,Urbana,Dependiente,20,7162.9,730.0,5,4,94305,24,Consumo,Inmueble,90163.14,410.73,54.29,1,1
23,M,Urbana,Dependiente,4,2480.88,702.0,5,4,51683,24,Comercial,Vehiculo,48573.1,452.54,44.51,3,0
35,F,Urbana,Agricola,14,500.0,551.0,2,7,142270,12,Comercial,Vehiculo,164452.29,401.33,38.49,2,0
68,F,Urbana,Agricola,22,4928.26,636.0,0,8,95817,36,Comercial,Ninguna,129837.16,406.87,45.36,3,1
22,M,Rural,Dependiente,13,3470.81,675.0,3,6,128776,36,Comercial,Ninguna,133979.25,416.21,49.13,4,0
64,F,Rural,Dependiente,14,4757.7,685.0,0,9,139227,12,Consumo,Inmueble,112840.67,441.18,51.55,3,0
42,F,Urbana,Agricola,9,2522.98,740.0,0,7,48952,24,Comercial,Ninguna,21258.25,419.12,44.88,2,0
19,M,Urbana,Comerciante,23,7554.34,699.0,2,1,124899,36,Consumo,Inmueble,155755.44,420.94,35.79,2,0
27,F,Urbana,Independiente,8,3881.58,587.0,0,1,12388,36,Comercial,Ninguna,5623.56,410.21,40.34,3,0
47,F,Urbana,Dependiente,11,3367.29,733.0,0,7,75178,6,Comercial,Inmueble,88081.48,426.7,50.16,3,0
67,M,Rural,Comerciante,6,7524.79,638.0,5,5,27457,48,Agricola,Vehiculo,25631.38,418.23,59.94,4,0
62,M,Urbana,Comerciante,4,5844.55,622.0,0,7,12752,12,Consumo,Vehiculo,9729.82,400.39,47.87,0,0
22,F,Urbana,Independiente,24,6723.22,581.0,1,8,52832,48,Agricola,Ninguna,54711.96,423.18,55.88,2,1
50,M,Urbana,Agricola,23,4224.52,648.0,3,8,5237,24,Consumo,Vehiculo,6424.89,423.77,41.66,0,0
18,F,Urbana,Agricola,9,4575.06,630.0,3,5,135123,6,Consumo,Ninguna,193140.43,478.75,44.11,4,0
35,M,Urbana,Comerciante,24,3545.24,784.0,0,7,44311,36,Comercial,Vehiculo,27368.08,404.72,33.96,1,0
49,F,Urbana,Agricola,25,3358.44,656.0,2,1,20088,60,Consumo,Vehiculo,28857.54,399.02,50.22,1,0
64,M,Urbana,Independiente,7,5137.18,728.0,1,7,6675,6,Comercial,Inmueble,9699.69,426.98,42.64,0,0
66,F,Rural,Independiente,21,3910.48,518.0,2,2,3640,12,Agricola,Inmueble,4645.94,395.18,51.59,3,1
28,F,Urbana,Independiente,19,8053.31,747.0,2,0,64328,24,Comercial,Vehiculo,87339.71,393.17,44.99,2,0
38,F,Urbana,Independiente,24,5848.04,738.0,0,6,13317,6,Comercial,Ninguna,15060.37,384.08,60.13,0,0
43,M,Rural,Agricola,15,7513.22,549.0,4,0,107442,6,Comercial,Vehiculo,37273.42,400.64,58.76,3,0
42,M,Urbana,Comerciante,11,934.11,602.0,0,0,104666,6,Comercial,Inmueble,103629.21,401.25,34.18,4,0
39,F,Rural,Independiente,8,7532.67,620.0,5,0,34462,36,Consumo,Ninguna,41238.8,387.92,51.55,3,0
44,F,Urbana,Independiente,9,684.09,662.0,4,3,76921,24,Comercial,Vehiculo,110000.4,413.74,43.54,4,0
66,M,Urbana,Independiente,15,2482.54,617.0,1,3,16201,36,Comercial,Ninguna,15950.57,360.85,51.88,0,0
30,M,Urbana,Agricola,9,1695.76,658.0,4,9,35536,6,Comercial,Ninguna,44528.06,432.29,39.94,1,0
50,M,Urbana,Independiente,8,4888.88,739.0,0,5,36517,36,Comercial,Vehiculo,41850.18,406.08,56.65,2,0
51,M,Urbana,Dependiente,29,4470.88,630.0,0,9,116308,36,Agricola,Vehiculo,74083.95,409.76,54.18,0,0
58,M,Rural,Independiente,25,5771.87,707.0,2,2,113911,12,Comercial,Vehiculo,55323.58,434.67,39.52,1,1
52,M,Urbana,Dependiente,2,4358.46,696.0,0,9,38982,48,Consumo,Vehiculo,46820.75,429.29,46.91,4,0
18,F,Urbana,Dependiente,26,6460.16,414.0,5,5,33844,48,Comercial,Ninguna,19647.19,404.25,48.97,2,0
38,M,Urbana,Agricola,27,3007.69,607.0,0,6,85118,12,Agricola,Ninguna,50528.59,431.29,52.32,3,0
65,F,Urbana,Dependiente,18,6497.06,769.0,3,0,136309,12,Comercial,Vehiculo,146223.5,458.72,47.93,0,0
23,M,Urbana,Dependiente,10,4450.81,599.0,3,5,124110,60,Comercial,Vehiculo,154750.54,394.7,52.72,3,0
45,M,Urbana,Dependiente,5,8269.38,584.0,2,9,7027,36,Consumo,Ninguna,7018.56,438.84,47.58,2,0
34,F,Rural,Dependiente,5,5895.05,773.0,4,0,142439,60,Consumo,Vehiculo,193999.04,392.17,51.67,0,0
22,F,Rural,Agricola,14,4014.14,694.0,4,6,81567,36,Consumo,Vehiculo,45166.25,449.39,39.79,0,0
48,M,Urbana,Independiente,28,4445.48,811.0,3,9,101848,24,Comercial,Ninguna,61403.89,402.2,47.84,3,1
22,F,Urbana,Comerciante,14,2885.41,638.0,5,4,94724,48,Comercial,Inmueble,100819.17,401.25,54.9,3,0
55,F,Rural,Dependiente,12,5074.98,788.0,1,9,115675,36,Agricola,Vehiculo,149827.1,448.73,56.47,1,0
20,F,Rural,Dependiente,21,4013.29,600.0,5,3,72810,24,Comercial,Ninguna,68967.25,438.04,49.04,3,1
40,F,Urbana,Dependiente,4,5658.67,449.0,3,0,126545,60,Comercial,Vehiculo,39539.98,403.02,47.41,4,0
54,M,Rural,Agricola,13,2359.2,741.0,5,8,53892,48,Comercial,Vehiculo,59945.78,423.18,56.21,1,1
54,F,Urbana,Independiente,20,3972.52,732.0,1,6,108457,24,Agricola,Inmueble,138423.55,402.25,47.39,3,0
27,M,Rural,Comerciante,1,2644.77,741.0,4,1,78059,24,Comercial,Inmueble,49321.76,380.18,54.87,0,1
27,M,Urbana,Independiente,29,2744.25,661.0,3,3,2074,12,Comercial,Vehiculo,757.09,424.73,47.36,3,0
36,M,Urbana,Independiente,22,5469.68,812.0,0,3,146062,6,Consumo,Ninguna,134602.32,411.09,48.24,2,0
34,M,Rural,Agricola,11,6299.21,758.0,1,7,83567,6,Agricola,Inmueble,29297.44,396.35,41.37,1,0
38,F,Urbana,Comerciante,19,767.93,754.0,1,1,46793,6,Comercial,Inmueble,37397.91,452.62,40.5,0,0
31,F,Urbana,Dependiente,13,7479.0,691.0,1,4,39071,24,Agricola,Ninguna,12556.69,397.2,53.87,3,0
26,M,Urbana,Dependiente,18,6746.54,559.0,4,9,20546,36,Comercial,Ninguna,11710.4,423.6,58.34,2,0
63,M,Rural,Independiente,23,2345.32,686.0,5,7,47515,60,Agricola,Inmueble,36424.38,447.0,48.63,1,0
18,M,Rural,Independiente,19,5822.95,712.0,2,5,149358,6,Agricola,Inmueble,64828.4,413.6,47.0,1,0
68,M,Rural,Comerciante,14,3763.7,850.0,0,3,130212,36,Agricola,Ninguna,56900.96,401.65,54.14,1,0
62,F,Urbana,Independiente,26,4343.04,704.0,3,4,141767,48,Comercial,Vehiculo,183230.17,427.44,50.02,0,0
30,M,Rural,Dependiente,19,5463.29,586.0,5,1,12054,60,Comercial,Ninguna,4215.39,431.39,33.61,3,1
21,F,Urbana,Comerciante,23,5267.99,722.0,1,4,3897,60,Consumo,Ninguna,4390.98,441.91,53.96,0,0
18,M,Urbana,Agricola,16,3583.21,793.0,4,2,10537,6,Agricola,Vehiculo,13459.74,466.78,39.98,4,0
66,M,Rural,Dependiente,24,3576.43,834.0,1,2,58325,24,Agricola,Vehiculo,26646.76,408.57,47.93,3,0
57,M,Urbana,Comerciante,13,3670.84,670.0,5,6,140753,12,Comercial,Inmueble,75224.72,424.9,45.35,4,0
49,M,Urbana,Dependiente,22,6328.52,662.0,3,2,120940,24,Comercial,Vehiculo,129380.64,388.27,44.16,3,0
51,F,Urbana,Dependiente,27,1521.09,553.0,0,3,74387,60,Comercial,Ninguna,50492.11,436.66,48.28,1,0
45,F,Urbana,Comerciante,17,4240.94,626.0,1,6,91537,36,Comercial,Inmueble,79793.51,424.59,53.36,0,1
48,F,Rural,Independiente,26,7016.08,719.0,4,2,81121,48,Consumo,Ninguna,105717.15,415.53,48.19,4,0
25,M,Urbana,Dependiente,27,5625.93,543.0,4,9,106532,60,Comercial,Inmueble,49599.15,404.55,56.46,1,0
56,M,Rural,Dependiente,21,6181.54,850.0,2,9,48038,24,Comercial,Inmueble,50131.64,411.29,57.2,1,0
43,F,Urbana,Agricola,23,4263.11,648.0,4,1,55833,60,Agricola,Ninguna,79890.17,425.91,57.15,4,0
51,F,Urbana,Dependiente,26,2638.3,691.0,2,9,49123,12,Agricola,Ninguna,18124.42,395.85,47.66,3,0
20,M,Urbana,Independiente,4,4589.1,711.0,0,6,31117,12,Consumo,Inmueble,11575.78,412.32,45.13,4,0
67,M,Rural,Agricola,21,3397.7,782.0,3,4,72131,48,Comercial,Vehiculo,69656.25,420.42,47.8,0,0
29,F,Urbana,Dependiente,11,8069.1,704.0,2,0,44691,6,Comercial,Ninguna,64895.4,381.51,54.75,2,0
18,M,Rural,Agricola,9,4246.92,584.0,1,9,145379,24,Consumo,Inmueble,82076.39,393.72,54.39,3,0
61,M,Urbana,Comerciante,7,5519.93,718.0,5,7,28531,60,Consumo,Vehiculo,19884.69,403.5,32.43,1,0
22,F,Urbana,Independiente,28,7223.83,781.0,1,2,43174,24,Comercial,Vehiculo,18063.03,459.21,49.84,4,0
47,M,Urbana,Dependiente,5,2745.2,599.0,3,6,129755,12,Comercial,Vehiculo,95330.57,399.23,33.79,2,1
47,F,Rural,Dependiente,27,852.43,752.0,4,5,15414,36,Consumo,Vehiculo,5444.21,418.61,47.89,4,0
34,M,Rural,Independiente,24,5284.02,703.0,5,9,95572,24,Consumo,Vehiculo,73295.39,393.99,44.83,2,0
65,F,Urbana,Comerciante,14,5585.32,689.0,1,5,11261,12,Agricola,Ninguna,10884.72,400.59,42.98,3,0
64,M,Urbana,Dependiente,11,3837.45,622.0,5,7,68913,36,Comercial,Vehiculo,101302.51,383.97,53.1,4,1
40,F,Urbana,Dependiente,24,2649.99,660.0,2,3,2271,6,Comercial,Vehiculo,2911.57,436.76,44.12,4,0
32,F,Rural,Independiente,24,4995.71,719.0,3,3,104324,6,Agricola,Inmueble,134210.58,386.86,47.94,2,0
54,F,Urbana,Independiente,5,4462.01,642.0,1,2,34202,12,Comercial,Vehiculo,19624.19,442.68,42.41,0,0
38,F,Rural,Dependiente,11,5015.52,592.0,4,0,70307,12,Comercial,Vehiculo,28451.95,431.7,48.44,1,0
31,M,Rural,Agricola,14,2687.27,588.0,5,9,108030,6,Agricola,Ninguna,110589.19,418.11,53.76,2,1
19,M,Urbana,Dependiente,11,5019.67,705.0,4,2,85070,12,Comercial,Inmueble,78720.87,443.5,42.73,4,0
